gene_id,num_transcripts,avg_pre_splice_length,avg_post_splice_length,avg_exon_count,avg_exon_length,avg_gc_content,avg_viennaRNA_energy,avg_RNAstructure_energy,avg_internal_priming_count
ENSG00000116670,5,1288.7,914.1,9,139.8,54.6,-13.3,-9.1,0.63
ENSG00000177674,1,1180.6,909.7,9,195.4,56.9,-9.3,-14.8,0.91
ENSG00000116685,3,1100.3,926.2,10,175.5,48.0,-10.1,-15.6,0.21
ENSG00000116731,3,1161.5,994.1,6,157.3,59.7,-10.5,-16.0,0.75
ENSG00000197312,4,1140.1,860.8,9,130.6,53.6,-15.1,-14.3,0.09
ENSG00000065526,5,1285.6,838.7,9,177.3,49.1,-9.2,-10.0,0.81
ENSG00000055070,4,1293.3,928.3,9,165.2,55.1,-13.1,-16.0,0.59
ENSG00000157191,5,1114.5,832.8,6,120.6,45.3,-13.4,-8.0,0.2
ENSG00000117118,1,1200.4,810.2,6,122.8,46.6,-12.7,-9.3,0.52
ENSG00000179051,2,1163.7,864.9,9,144.3,55.0,-12.6,-15.3,0.83
ENSG00000127481,4,1151.6,946.3,10,181.3,50.3,-14.4,-15.0,0.64
ENSG00000053372,5,1231.9,834.1,8,170.7,49.0,-15.2,-10.7,0.59
ENSG00000053371,3,1173.4,908.1,10,191.5,43.7,-9.3,-9.9,0.91
ENSG00000077549,1,1126.4,836.8,10,152.2,50.3,-8.7,-11.2,0.05
ENSG00000173436,4,1101.3,846.5,10,144.7,52.9,-15.0,-15.0,0.91
ENSG00000244038,3,1281.9,965.1,10,137.7,49.2,-12.1,-14.6,0.98
ENSG00000127483,1,1148.3,836.7,5,123.4,42.9,-12.0,-10.9,0.55
ENSG00000075151,4,1104.9,931.0,8,155.2,53.0,-9.2,-11.9,0.97
ENSG00000090686,3,1199.0,895.8,8,177.9,54.6,-11.5,-11.1,0.44
ENSG00000070831,2,1288.1,910.4,5,138.6,59.3,-11.0,-11.9,0.3
ENSG00000004487,1,1283.4,882.0,10,152.4,40.8,-9.5,-8.0,0.88
ENSG00000125944,5,1127.9,856.9,6,153.5,53.6,-11.8,-15.7,0.13
ENSG00000142676,5,1242.9,921.9,7,178.6,44.9,-11.2,-12.2,0.66
ENSG00000011007,4,1153.0,970.6,5,161.4,53.9,-12.6,-8.8,0.74
ENSG00000057757,2,1239.0,911.6,6,169.2,48.2,-8.3,-10.9,0.2
ENSG00000189266,3,1210.4,843.5,7,172.5,47.5,-13.0,-15.1,0.96
ENSG00000188529,1,1222.8,830.0,6,186.8,43.8,-12.4,-9.3,0.75
ENSG00000133226,5,1185.6,960.3,5,144.6,55.5,-9.8,-9.2,0.25
ENSG00000117614,2,1106.8,843.7,9,178.9,53.1,-8.7,-14.2,0.43
ENSG00000117616,4,1126.1,960.9,6,178.1,51.1,-8.5,-11.6,0.12
ENSG00000183726,3,1267.0,904.9,8,141.1,48.3,-8.7,-8.9,0.53
ENSG00000204178,1,1245.3,935.9,10,137.3,53.8,-15.0,-8.9,0.69
ENSG00000117632,3,1127.7,886.3,8,158.6,46.7,-12.9,-12.7,0.54
ENSG00000142684,4,1184.2,850.2,5,190.4,54.1,-9.9,-9.3,0.2
ENSG00000142669,3,1110.6,834.7,8,138.2,45.0,-10.8,-10.9,0.29
ENSG00000198830,4,1143.7,887.5,7,190.6,43.5,-12.3,-10.6,0.11
ENSG00000117713,3,1180.8,966.4,6,134.4,45.5,-12.9,-8.9,0.42
ENSG00000090273,4,1191.4,992.0,6,125.9,48.3,-15.5,-8.0,0.2
ENSG00000158195,3,1175.2,887.4,9,120.2,42.4,-12.1,-12.6,0.97
ENSG00000117751,2,1247.6,978.8,5,169.7,43.7,-8.5,-15.0,0.65
ENSG00000117748,4,1109.1,844.6,7,187.0,57.4,-9.5,-8.7,0.61
ENSG00000126698,3,1200.7,865.9,6,156.9,59.4,-15.9,-13.2,0.29
ENSG00000130770,3,1282.4,872.1,9,120.6,48.8,-9.4,-15.4,0.57
ENSG00000204138,1,1239.6,954.4,6,123.3,51.2,-14.4,-11.1,0.58
ENSG00000180198,5,1294.4,852.1,5,177.1,41.2,-9.4,-8.3,0.33
ENSG00000242125,3,1276.9,968.2,10,138.3,54.8,-14.8,-10.4,0.86
ENSG00000197989,4,1154.0,943.2,6,125.4,56.8,-13.4,-14.2,0.53
ENSG00000120656,5,1241.1,980.3,8,188.8,41.1,-8.2,-11.5,0.52
ENSG00000198492,2,1127.8,965.1,9,158.6,52.7,-10.6,-8.4,0.55
ENSG00000159023,5,1222.6,899.9,7,180.3,53.5,-14.4,-12.6,0.25
ENSG00000116350,4,1111.6,982.5,8,198.9,44.2,-14.7,-8.4,0.99
ENSG00000162511,1,1166.6,945.9,10,156.4,48.1,-11.3,-14.8,0.54
ENSG00000134644,2,1215.8,893.2,8,170.0,56.4,-15.8,-14.5,0.25
ENSG00000060688,3,1256.9,818.2,5,166.8,44.2,-13.9,-14.3,0.23
ENSG00000121766,3,1137.3,904.6,9,137.9,59.2,-13.1,-13.1,0.56
ENSG00000162517,3,1204.2,886.0,6,154.9,54.7,-11.7,-13.7,0.63
ENSG00000184007,1,1208.8,835.4,8,162.4,59.4,-12.2,-12.9,0.76
ENSG00000121774,2,1110.1,864.3,7,186.2,55.0,-10.7,-12.6,0.27
ENSG00000025800,4,1150.7,965.6,9,191.7,49.6,-10.3,-9.4,0.66
ENSG00000084652,4,1143.6,923.0,6,184.6,54.8,-11.5,-14.4,0.02
ENSG00000160050,2,1174.6,834.9,9,199.7,58.3,-12.2,-15.6,0.16
ENSG00000084623,2,1213.8,959.2,7,152.9,40.8,-10.7,-15.1,0.75
ENSG00000116478,3,1228.7,984.8,8,136.9,41.4,-8.8,-9.6,0.56
ENSG00000175130,2,1240.7,927.2,8,184.1,57.9,-13.5,-11.8,0.09
ENSG00000160058,3,1126.0,812.4,6,154.2,43.1,-13.6,-15.6,0.95
ENSG00000176261,3,1241.1,993.8,5,177.0,48.3,-14.2,-13.0,0.7
ENSG00000162521,3,1215.8,972.7,5,199.2,52.9,-10.3,-13.6,0.33
ENSG00000134684,4,1273.1,938.6,6,186.3,59.9,-13.6,-15.8,0.13
ENSG00000116497,1,1111.2,842.1,5,151.6,59.4,-10.9,-15.8,0.28
ENSG00000004455,3,1200.8,801.9,5,135.8,52.1,-13.1,-14.4,0.38
ENSG00000163866,3,1139.3,834.0,5,120.6,45.7,-13.5,-8.5,0.74
ENSG00000116560,5,1105.4,828.4,6,189.4,58.3,-13.7,-14.7,0.52
ENSG00000146463,2,1126.9,966.9,9,121.3,57.2,-12.1,-13.1,0.03
ENSG00000142687,2,1211.7,879.3,6,152.0,46.7,-13.7,-13.3,0.12
ENSG00000126067,4,1195.1,826.3,7,138.3,46.4,-12.4,-13.2,0.76
ENSG00000092853,4,1192.5,933.1,10,143.9,58.6,-9.4,-12.8,0.49
ENSG00000092847,1,1241.0,801.1,5,188.8,57.9,-13.2,-8.3,0.73
ENSG00000126070,5,1144.3,844.3,7,156.1,50.9,-14.0,-13.5,0.38
ENSG00000116863,4,1169.6,822.2,8,187.1,49.6,-12.0,-15.2,0.54
ENSG00000054116,2,1267.9,815.8,10,170.6,45.8,-14.1,-14.8,0.15
ENSG00000116871,3,1229.4,968.2,9,182.1,51.1,-12.0,-14.1,0.4
ENSG00000054118,2,1114.7,912.3,7,139.8,40.7,-11.3,-12.5,0.2
ENSG00000196182,1,1250.8,873.6,9,175.1,60.0,-8.1,-14.3,0.44
ENSG00000181817,5,1203.6,811.8,6,162.8,42.3,-15.0,-13.4,0.44
ENSG00000116898,2,1153.3,884.5,6,125.2,48.2,-8.0,-12.1,0.47
ENSG00000163875,1,1252.1,990.4,6,193.5,42.7,-12.4,-15.6,0.77
ENSG00000134697,5,1112.1,939.1,5,134.4,57.6,-10.3,-11.4,0.29
ENSG00000116922,3,1127.2,908.7,10,145.8,51.0,-9.1,-10.6,0.17
ENSG00000134690,1,1117.8,907.2,7,123.3,51.5,-14.3,-12.0,0.46
ENSG00000196449,2,1114.4,853.7,8,197.4,47.0,-8.0,-13.6,0.64
ENSG00000197982,1,1116.1,891.2,10,152.2,40.3,-8.7,-12.9,0.41
ENSG00000183431,1,1162.6,904.4,7,190.1,50.7,-12.1,-11.2,0.78
ENSG00000183386,1,1107.6,841.2,10,155.8,57.7,-8.7,-15.6,0.04
ENSG00000183520,5,1216.6,801.1,6,139.2,43.5,-9.6,-12.1,0.47
ENSG00000214114,5,1267.8,823.7,9,144.6,57.2,-13.1,-13.3,0.65
ENSG00000174574,2,1290.6,850.4,7,142.7,41.6,-14.1,-14.4,0.86
ENSG00000168653,2,1137.3,853.7,5,169.3,45.4,-15.7,-14.9,0.07
ENSG00000127603,4,1119.4,988.2,8,131.7,59.4,-11.6,-9.9,0.45
ENSG00000090621,5,1157.8,963.1,8,191.8,56.0,-9.8,-13.8,0.97
ENSG00000084072,3,1233.4,939.0,6,153.9,55.7,-9.1,-9.8,0.58
ENSG00000043514,5,1147.2,907.9,9,143.4,53.9,-14.4,-10.7,0.39
ENSG00000131236,1,1145.8,960.6,9,181.0,56.4,-10.2,-13.0,0.05
ENSG00000131238,5,1236.5,965.3,6,194.7,43.0,-9.3,-10.7,0.67
ENSG00000117000,4,1221.2,995.4,10,179.9,45.7,-9.3,-11.3,0.44
ENSG00000084073,4,1103.4,862.5,8,157.3,48.4,-12.2,-9.9,0.18
ENSG00000084070,1,1216.3,866.6,10,187.6,56.1,-14.1,-15.9,0.13
ENSG00000066136,1,1111.3,934.3,6,166.4,42.9,-10.1,-13.6,0.07
ENSG00000171793,5,1172.3,856.7,6,164.5,50.3,-8.2,-14.1,0.37
ENSG00000127125,3,1233.0,904.6,5,149.9,45.3,-12.7,-11.0,0.2
ENSG00000171960,1,1119.5,804.5,7,125.2,59.9,-11.0,-8.7,0.88
ENSG00000065978,1,1238.0,922.0,7,185.2,40.2,-12.3,-10.9,0.45
ENSG00000164008,2,1118.2,949.2,7,148.6,46.4,-8.8,-12.6,0.07
ENSG00000177868,3,1211.8,972.1,10,139.7,57.1,-11.6,-13.7,0.45
ENSG00000117394,3,1285.9,951.0,5,174.6,44.6,-12.1,-12.9,0.94
ENSG00000117395,3,1117.2,882.2,9,176.8,43.8,-10.1,-8.5,0.49
ENSG00000117399,2,1164.8,994.1,10,176.7,49.6,-12.7,-8.2,0.16
ENSG00000066322,4,1107.0,839.0,6,170.5,48.9,-14.7,-14.0,0.22
ENSG00000159479,2,1161.9,972.0,5,148.1,52.4,-11.6,-14.3,0.95
ENSG00000117410,4,1188.2,843.5,9,141.1,55.9,-14.7,-9.0,0.95
ENSG00000117419,5,1284.9,857.9,9,135.4,57.5,-15.9,-9.5,0.26
ENSG00000187147,3,1115.5,931.2,9,147.9,54.7,-12.8,-12.5,0.68
ENSG00000142945,4,1218.8,849.1,10,124.5,58.0,-10.8,-11.6,0.7
ENSG00000142937,3,1222.3,855.5,10,197.0,51.0,-15.0,-9.6,0.27
ENSG00000070785,3,1143.5,974.1,6,148.5,46.2,-11.9,-11.1,0.38
ENSG00000126088,2,1153.6,923.0,7,183.8,54.1,-10.5,-8.3,0.64
ENSG00000117450,5,1230.9,973.4,6,122.0,57.4,-10.4,-13.6,0.56
ENSG00000117448,5,1222.3,810.7,9,190.2,44.3,-8.3,-11.2,0.87
ENSG00000132780,4,1238.3,913.0,9,131.6,45.0,-15.9,-12.8,0.29
ENSG00000159592,2,1231.8,993.5,8,181.1,41.3,-12.1,-15.2,0.74
ENSG00000159596,4,1289.1,946.6,8,177.5,50.6,-10.4,-8.1,0.56
ENSG00000132128,3,1205.8,953.3,6,126.5,56.7,-10.6,-8.5,0.49
ENSG00000173660,1,1228.6,977.6,7,141.3,57.9,-12.4,-8.7,0.75
ENSG00000162368,5,1255.1,816.4,7,155.3,52.6,-12.8,-10.3,0.81
ENSG00000185104,3,1211.9,862.0,5,150.2,49.5,-13.3,-12.8,0.92
ENSG00000085832,3,1148.3,839.4,5,128.6,47.2,-15.6,-11.0,0.36
ENSG00000117859,5,1278.4,895.1,6,161.7,41.9,-9.8,-13.6,0.93
ENSG00000078618,3,1150.9,836.6,5,184.7,59.0,-13.4,-8.0,0.76
ENSG00000117862,3,1128.8,865.3,10,199.1,41.1,-15.9,-9.1,0.59
ENSG00000134717,4,1154.0,935.9,9,169.2,48.5,-14.5,-15.5,0.44
ENSG00000085840,3,1186.3,940.0,6,148.0,46.0,-13.7,-12.4,0.55
ENSG00000134748,3,1107.0,888.6,10,151.7,54.8,-13.4,-13.8,0.75
ENSG00000134744,5,1159.0,836.8,7,130.1,54.2,-9.6,-11.5,0.16
ENSG00000162377,5,1222.9,844.1,5,170.0,44.2,-9.7,-8.2,0.53
ENSG00000116171,5,1152.5,919.2,9,165.8,54.9,-14.9,-14.6,0.64
ENSG00000162384,1,1247.7,867.8,5,180.5,55.9,-15.2,-11.8,0.92
ENSG00000162385,1,1166.6,964.8,9,154.3,40.2,-10.5,-8.1,0.62
ENSG00000058804,1,1176.8,919.1,5,126.7,52.6,-14.1,-10.4,0.71
ENSG00000081870,1,1169.2,912.2,10,198.7,41.5,-9.9,-15.2,0.01
ENSG00000116209,4,1122.9,803.3,5,142.9,52.1,-11.8,-11.2,0.59
ENSG00000116221,3,1216.2,875.1,6,146.8,50.5,-11.6,-13.5,0.16
ENSG00000157216,4,1189.6,866.5,10,154.7,54.2,-8.8,-13.8,0.79
ENSG00000243725,3,1198.0,914.2,9,196.4,45.7,-10.9,-12.4,0.99
ENSG00000116133,2,1141.8,862.0,8,179.3,58.1,-13.6,-14.3,0.91
ENSG00000162402,5,1179.6,802.1,5,134.2,47.6,-15.5,-11.3,0.53
ENSG00000162601,4,1236.3,961.9,7,173.4,55.2,-11.1,-13.1,0.86
ENSG00000177606,2,1213.9,986.6,10,129.8,45.7,-11.2,-9.1,0.54
ENSG00000162599,3,1296.4,947.5,5,172.4,52.9,-8.1,-10.2,0.22
ENSG00000162604,2,1225.5,983.5,6,172.1,59.6,-10.1,-15.3,0.83
ENSG00000162607,2,1103.7,911.3,6,193.0,40.3,-9.7,-12.5,0.28
ENSG00000142856,4,1218.7,817.3,8,160.1,40.0,-14.5,-9.6,0.46
ENSG00000162434,2,1105.4,833.1,9,177.9,55.0,-11.5,-10.3,0.38
ENSG00000162433,3,1131.2,865.4,9,154.0,49.7,-15.8,-8.4,0.68
ENSG00000213625,1,1242.6,989.2,8,136.6,45.7,-12.8,-11.5,0.88
ENSG00000198160,5,1228.4,921.6,8,120.1,59.1,-10.0,-9.4,0.51
ENSG00000142864,4,1262.1,866.1,9,177.4,40.8,-11.3,-11.7,0.07
ENSG00000116717,2,1157.4,975.6,8,156.9,40.9,-12.6,-9.1,0.01
ENSG00000116754,2,1104.6,918.4,6,188.7,41.9,-14.1,-8.1,0.82
ENSG00000132485,1,1299.3,812.5,8,150.2,51.0,-12.7,-14.0,0.82
ENSG00000162623,3,1134.7,924.7,9,127.4,54.3,-12.9,-14.2,0.69
ENSG00000117054,4,1183.6,837.2,10,129.0,48.5,-11.2,-13.6,0.4
ENSG00000137955,2,1220.9,881.5,9,135.7,56.1,-14.6,-9.5,0.01
ENSG00000077254,5,1260.9,927.8,10,174.2,43.8,-15.0,-8.5,0.36
ENSG00000162613,5,1213.1,876.0,10,141.9,55.9,-15.3,-12.8,0.24
ENSG00000117133,2,1133.3,923.7,6,133.6,52.9,-15.5,-11.7,0.1
ENSG00000174021,5,1136.0,996.8,7,132.9,47.9,-13.9,-14.6,0.81
ENSG00000117155,3,1183.0,818.7,5,181.0,59.4,-8.2,-14.1,0.53
ENSG00000162642,1,1270.3,883.1,5,171.0,43.8,-11.0,-15.3,0.98
ENSG00000117174,1,1278.4,885.5,7,145.0,59.8,-10.1,-8.6,0.85
ENSG00000016490,1,1192.3,895.3,9,175.9,48.2,-10.9,-8.2,0.33
ENSG00000097033,2,1251.2,832.8,10,159.0,55.4,-8.8,-8.1,0.91
ENSG00000183291,1,1173.5,829.1,6,181.7,44.7,-15.4,-14.7,0.98
ENSG00000153936,3,1246.4,900.3,10,128.8,51.4,-8.8,-13.8,0.3
ENSG00000143013,4,1259.8,943.0,10,199.2,59.3,-14.8,-12.8,0.48
ENSG00000137947,2,1132.4,850.5,6,130.9,47.0,-13.5,-13.7,0.7
ENSG00000162664,1,1234.6,868.2,6,160.8,43.1,-14.8,-15.2,0.82
ENSG00000122482,1,1298.3,850.0,8,194.2,54.7,-15.9,-10.4,0.8
ENSG00000122484,5,1205.7,845.6,8,126.4,59.8,-16.0,-13.3,0.1
ENSG00000122406,1,1252.3,843.5,6,174.1,49.3,-13.3,-12.5,0.45
ENSG00000143033,1,1292.9,881.0,8,177.9,53.8,-12.4,-9.7,0.22
ENSG00000117500,3,1273.4,905.1,9,125.5,55.5,-11.9,-10.7,0.05
ENSG00000117505,3,1150.1,937.4,10,197.1,40.2,-9.3,-9.2,0.9
ENSG00000067334,5,1279.4,956.3,7,191.0,46.9,-12.7,-10.1,0.18
ENSG00000023909,3,1123.7,861.0,5,174.6,47.2,-8.0,-14.7,0.82
ENSG00000162688,4,1214.0,976.1,6,159.5,54.1,-8.8,-15.2,0.83
ENSG00000156876,4,1150.1,870.7,7,158.7,43.1,-10.2,-10.6,0.47
ENSG00000137996,4,1147.4,981.2,9,176.0,45.8,-13.7,-10.6,0.47
ENSG00000117543,4,1104.9,961.8,8,162.4,48.4,-8.4,-13.5,0.16
ENSG00000134186,4,1190.2,969.9,10,189.4,58.6,-10.3,-14.1,0.49
ENSG00000031698,3,1184.0,800.7,9,172.0,45.3,-9.0,-13.9,0.05
ENSG00000143106,3,1144.5,828.6,10,190.3,49.8,-9.7,-10.7,0.72
ENSG00000065135,2,1107.2,854.8,9,134.0,45.1,-10.2,-10.7,0.7
ENSG00000168710,5,1234.5,803.4,9,134.8,52.6,-12.4,-8.5,0.37
ENSG00000134248,2,1133.4,844.0,5,165.3,45.8,-13.7,-11.7,0.19
ENSG00000143119,2,1269.1,954.8,6,170.8,48.5,-11.0,-10.2,0.85
ENSG00000121931,2,1101.2,932.7,10,195.1,57.0,-10.2,-8.0,0.92
ENSG00000156171,3,1110.6,806.8,7,178.4,51.0,-14.6,-10.5,0.13
ENSG00000162777,1,1236.4,993.0,9,134.9,47.9,-12.7,-14.5,0.31
ENSG00000064886,1,1263.7,856.6,5,131.3,40.1,-15.1,-15.1,0.03
ENSG00000116455,1,1176.4,896.7,6,149.5,42.2,-13.3,-15.9,0.61
ENSG00000116459,5,1224.9,809.8,6,167.1,46.6,-15.1,-13.1,0.2
ENSG00000116473,4,1204.4,818.7,10,145.5,56.9,-12.9,-11.9,0.85
ENSG00000116489,2,1214.3,966.0,6,172.1,56.1,-13.2,-15.4,0.79
ENSG00000155366,3,1297.4,876.6,10,188.7,44.6,-9.6,-13.1,0.76
ENSG00000155380,4,1104.5,814.5,6,188.9,57.6,-15.1,-15.0,0.5
ENSG00000226419,4,1137.3,888.9,5,138.8,42.6,-8.9,-12.2,0.87
ENSG00000197323,3,1103.2,829.7,9,142.7,40.6,-15.8,-13.4,0.55
ENSG00000116752,1,1291.4,852.6,6,179.4,50.2,-13.5,-11.3,0.24
ENSG00000213281,4,1224.1,838.4,5,162.0,59.3,-13.0,-15.2,0.19
ENSG00000009307,2,1136.0,960.8,6,126.9,57.6,-13.3,-9.9,1.0
ENSG00000052723,4,1202.9,860.3,6,195.1,55.8,-12.6,-10.5,0.28
ENSG00000163399,3,1216.2,816.4,8,174.6,47.0,-15.4,-10.0,0.96
ENSG00000116830,4,1266.1,973.1,9,148.6,56.2,-13.5,-13.6,0.23
ENSG00000198162,1,1268.9,881.1,6,200.0,47.4,-10.6,-8.1,0.96
ENSG00000065183,2,1100.5,839.0,5,150.1,46.2,-9.2,-12.1,0.14
ENSG00000092621,4,1160.9,806.4,5,188.1,45.0,-9.0,-8.7,0.72
ENSG00000265491,5,1197.4,910.0,10,163.1,45.5,-13.7,-15.5,0.55
ENSG00000265241,4,1272.9,949.3,9,165.0,42.1,-9.4,-9.8,0.67
ENSG00000121851,1,1141.6,905.0,5,190.9,48.6,-14.0,-8.6,0.72
ENSG00000265972,1,1262.7,987.0,6,140.1,48.2,-9.9,-8.6,0.47
ENSG00000178104,4,1288.8,930.1,5,142.3,49.3,-14.5,-12.9,0.1
ENSG00000184260,1,1154.2,936.3,5,188.6,40.7,-14.5,-15.5,0.5
ENSG00000143368,3,1299.0,853.6,9,132.6,55.1,-13.6,-9.0,0.45
ENSG00000143401,1,1262.7,831.7,7,130.9,42.7,-8.2,-10.7,0.0
ENSG00000117362,1,1181.4,929.7,8,127.8,42.3,-14.8,-15.0,0.91
ENSG00000266472,4,1166.3,800.6,6,187.7,59.0,-12.5,-9.3,0.85
ENSG00000143384,5,1208.7,915.1,5,140.7,50.3,-9.8,-15.9,0.91
ENSG00000143420,5,1223.4,879.4,8,122.4,55.8,-10.1,-11.4,0.17
ENSG00000143418,5,1230.3,934.4,8,162.6,45.6,-8.7,-15.1,0.06
ENSG00000197622,1,1196.5,970.1,9,126.9,42.3,-14.3,-15.9,0.91
ENSG00000163156,3,1107.7,898.8,6,182.9,46.4,-13.7,-15.6,0.51
ENSG00000159352,3,1253.4,844.7,10,133.0,50.2,-11.8,-10.2,0.49
ENSG00000159377,3,1137.7,992.4,5,162.7,50.9,-9.4,-13.3,0.51
ENSG00000143436,4,1281.3,897.6,5,193.4,41.7,-13.1,-12.5,0.48
ENSG00000159445,5,1228.9,950.0,10,145.7,40.7,-9.0,-11.6,0.56
ENSG00000163191,3,1286.9,977.5,7,135.5,53.6,-15.4,-14.7,0.4
ENSG00000189171,5,1207.1,890.6,10,172.9,54.0,-12.0,-13.6,0.33
ENSG00000160679,3,1265.9,883.6,9,197.8,45.5,-9.2,-15.4,0.23
ENSG00000143621,4,1125.7,810.3,7,165.4,54.6,-12.7,-12.7,0.71
ENSG00000143570,3,1209.4,952.0,9,153.7,57.6,-8.1,-10.4,0.88
ENSG00000143543,3,1294.5,929.8,5,125.6,42.7,-15.2,-12.0,0.79
ENSG00000177954,5,1125.0,842.1,7,146.3,56.5,-14.1,-8.1,0.24
ENSG00000143549,1,1139.2,929.4,9,127.8,59.0,-12.6,-8.5,0.22
ENSG00000143612,1,1107.9,872.0,5,187.3,54.7,-14.5,-11.3,0.2
ENSG00000143569,1,1181.3,903.9,8,164.7,41.6,-11.3,-13.1,0.97
ENSG00000143575,1,1236.9,999.0,9,195.6,58.3,-13.0,-11.5,0.02
ENSG00000160714,4,1236.3,923.7,7,165.2,59.4,-13.8,-11.3,0.51
ENSG00000160710,5,1108.0,825.6,10,143.3,52.7,-10.9,-9.4,0.44
ENSG00000173207,1,1242.0,961.4,5,176.6,47.0,-8.0,-15.7,0.5
ENSG00000160688,1,1134.5,919.8,7,132.4,59.2,-15.4,-10.0,0.05
ENSG00000169241,3,1131.0,991.6,5,181.6,42.6,-15.9,-9.4,0.08
ENSG00000163463,4,1264.3,876.5,8,144.9,54.3,-15.8,-12.0,0.33
ENSG00000173171,3,1215.5,843.9,6,160.4,47.4,-10.3,-11.9,0.45
ENSG00000160752,3,1146.5,937.7,5,150.2,50.3,-11.9,-15.4,0.96
ENSG00000116539,5,1211.0,864.9,8,195.6,42.7,-13.0,-15.3,0.27
ENSG00000163374,2,1173.6,915.7,7,155.1,50.3,-13.0,-11.2,0.03
ENSG00000132676,1,1132.7,897.3,10,134.2,53.8,-14.6,-11.4,0.66
ENSG00000116580,1,1148.6,867.1,8,147.6,46.1,-9.5,-13.8,0.05
ENSG00000132680,5,1244.5,979.4,8,145.7,41.2,-10.4,-12.7,0.96
ENSG00000163479,3,1240.7,946.2,5,168.6,45.7,-8.3,-14.9,0.83
ENSG00000116586,5,1111.8,830.6,5,163.2,41.7,-12.6,-12.5,0.47
ENSG00000160789,2,1107.2,853.7,5,161.4,56.7,-12.2,-9.2,0.55
ENSG00000160783,3,1157.1,971.7,6,135.0,51.2,-15.8,-11.4,0.26
ENSG00000163468,3,1106.1,918.9,6,193.4,45.6,-15.3,-10.5,0.64
ENSG00000163382,1,1267.0,923.0,9,142.0,51.3,-11.1,-10.5,0.51
ENSG00000160818,5,1109.6,921.2,6,142.6,44.6,-14.1,-13.4,0.18
ENSG00000143319,3,1200.9,960.5,5,160.5,45.0,-13.6,-15.1,0.29
ENSG00000143321,3,1122.2,933.1,5,133.1,48.6,-8.9,-8.6,0.62
ENSG00000143294,3,1174.1,835.6,7,155.7,50.8,-12.3,-15.7,0.49
ENSG00000271736,2,1215.5,942.4,10,169.0,43.4,-8.2,-10.6,0.23
ENSG00000158710,4,1252.2,962.4,8,183.7,53.9,-8.9,-10.5,0.26
ENSG00000122218,2,1126.5,809.7,7,151.5,56.2,-14.5,-8.0,0.93
ENSG00000143256,5,1287.0,807.7,5,162.1,53.8,-8.5,-14.5,0.55
ENSG00000143222,3,1243.6,896.0,7,149.6,46.6,-13.2,-15.6,0.2
ENSG00000158850,4,1220.8,865.8,5,184.4,54.6,-12.6,-10.8,0.87
